#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 4740240E   3  15   t   25       4          7              1      HO    -9    14      4
 47402410   3  15   t   25       4          7              2      HO    -9    16      4
 47402010   3  15   t   25       4          8              0      HO    -8    16      4
 4740200F   3  15   t   25       4          8              1      HO    -8    15      4
 4740200E   3  15   t   25       4          8              2      HO    -8    14      4
 47403C0C   3  15   b   25       5          1              0      HO   -15    12      4
 47403C0B   3  15   b   25       5          1              1      HO   -15    11      4
 47403C0D   3  15   b   25       5          1              2      HO   -15    13      4
 4740380D   3  15   b   25       5          2              0      HO   -14    13      4
 4740380C   3  15   b   25       5          2              1      HO   -14    12      4
 4740380B   3  15   b   25       5          2              2      HO   -14    11      4
 4740340C   3  15   b   25       5          3              0      HO   -13    12      4
 4740340B   3  15   b   25       5          3              1      HO   -13    11      4
 4740340D   3  15   b   25       5          3              2      HO   -13    13      4
 4740300D   3  15   b   25       5          4              0      HO   -12    13      4
 4740300C   3  15   b   25       5          4              1      HO   -12    12      4
 4740300B   3  15   b   25       5          4              2      HO   -12    11      4
 47402C0C   3  15   b   25       5          5              0      HO   -11    12      4
 47402C0B   3  15   b   25       5          5              1      HO   -11    11      4
 47402C0D   3  15   b   25       5          5              2      HO   -11    13      4
 4740280D   3  15   b   25       5          6              0      HO   -10    13      4
 4740280C   3  15   b   25       5          6              1      HO   -10    12      4
 4740280B   3  15   b   25       5          6              2      HO   -10    11      4
 4740240C   3  15   b   25       5          7              0      HO    -9    12      4
 4740240B   3  15   b   25       5          7              1      HO    -9    11      4
 4740240D   3  15   b   25       5          7              2      HO    -9    13      4
 4740200D   3  15   b   25       5          8              0      HO    -8    13      4
 4740200C   3  15   b   25       5          8              1      HO    -8    12      4
 4740200B   3  15   b   25       5          8              2      HO    -8    11      4
 47401C0F   3  16   t   25       6          1              0      HO    -7    15      4
 47401C0E   3  16   t   25       6          1              1      HO    -7    14      4
 47401C10   3  16   t   25       6          1              2      HO    -7    16      4
 47401810   3  16   t   25       6          2              0      HO    -6    16      4
 4740180F   3  16   t   25       6          2              1      HO    -6    15      4
 4740180E   3  16   t   25       6          2              2      HO    -6    14      4
 4740140F   3  16   t   25       6          3              0      HO    -5    15      4
 4740140E   3  16   t   25       6          3              1      HO    -5    14      4
 47401410   3  16   t   25       6          3              2      HO    -5    16      4
 47480C0F   3  16   t   25       6          4              0      HO     3    15      4
 47480C10   3  16   t   25       6          4              1      HO     3    16      4
 4748080F   3  16   t   25       6          4              2      HO     2    15      4
 47480410   3  16   t   25       6          5              0      HO     1    16      4
 47480810   3  16   t   25       6          5              1      HO     2    16      4
 47400810   3  16   t   25       6          5              2      HO    -2    16      4
 4748040F   3  16   t   25       6          6              0      HO     1    15      4
