New HCAL QIETypes set
#             eta             phi             dep             det    value      DetId
               -9              20               1              HB               0   43102414
              -10              20               1              HB               0   43102814
              -11              20               1              HB               0   43102C14
              -12              20               1              HB               0   43103014
              -13              20               1              HB               0   43103414
              -14              20               1              HB               0   43103814
              -15              20               1              HB               0   43103C14
              -15              20               2              HB               0   43203C14
              -16              20               1              HB               0   43104014
              -16              20               2              HB               0   43204014
               -1              21               1              HB               0   43100415
               -2              21               1              HB               0   43100815
               -3              21               1              HB               0   43100C15
               -4              21               1              HB               0   43101015
               -5              21               1              HB               0   43101415
               -6              21               1              HB               0   43101815
               -7              21               1              HB               0   43101C15
               -8              21               1              HB               0   43102015
               -9              21               1              HB               0   43102415
              -10              21               1              HB               0   43102815
              -11              21               1              HB               0   43102C15
              -12              21               1              HB               0   43103015
              -13              21               1              HB               0   43103415
              -14              21               1              HB               0   43103815
              -15              21               1              HB               0   43103C15
              -15              21               2              HB               0   43203C15
              -16              21               1              HB               0   43104015
              -16              21               2              HB               0   43204015
               -1              22               1              HB               0   43100416
               -2              22               1              HB               0   43100816
               -3              22               1              HB               0   43100C16
               -4              22               1              HB               0   43101016
               -5              22               1              HB               0   43101416
               -6              22               1              HB               0   43101816
               -7              22               1              HB               0   43101C16
               -8              22               1              HB               0   43102016
               -9              22               1              HB               0   43102416
              -10              22               1              HB               0   43102816
              -11              22               1              HB               0   43102C16
              -12              22               1              HB               0   43103016
              -13              22               1              HB               0   43103416
              -14              22               1              HB               0   43103816
              -15              22               1              HB               0   43103C16
              -15              22               2              HB               0   43203C16
              -16              22               1              HB               0   43104016
              -16              22               2              HB               0   43204016
               -1              23               1              HB               0   43100417
               -2              23               1              HB               0   43100817
               -3              23               1              HB               0   43100C17
               -4              23               1              HB               0   43101017
               -5              23               1              HB               0   43101417
               -6              23               1              HB               0   43101817
               -7              23               1              HB               0   43101C17
               -8              23               1              HB               0   43102017
               -9              23               1              HB               0   43102417
              -10              23               1              HB               0   43102817
              -11              23               1              HB               0   43102C17
              -12              23               1              HB               0   43103017
              -13              23               1              HB               0   43103417
              -14              23               1              HB               0   43103817
              -15              23               1              HB               0   43103C17
              -15              23               2              HB               0   43203C17
              -16              23               1              HB               0   43104017
              -16              23               2              HB               0   43204017
               -1              24               1              HB               0   43100418
               -2              24               1              HB               0   43100818
               -3              24               1              HB               0   43100C18
               -4              24               1              HB               0   43101018
               -5              24               1              HB               0   43101418
               -6              24               1              HB               0   43101818
               -7              24               1              HB               0   43101C18
               -8              24               1              HB               0   43102018
               -9              24               1              HB               0   43102418
              -10              24               1              HB               0   43102818
              -11              24               1              HB               0   43102C18
              -12              24               1              HB               0   43103018
              -13              24               1              HB               0   43103418
              -14              24               1              HB               0   43103818
              -15              24               1              HB               0   43103C18
              -15              24               2              HB               0   43203C18
              -16              24               1              HB               0   43104018
              -16              24               2              HB               0   43204018
               -1              25               1              HB               0   43100419
               -2              25               1              HB               0   43100819
               -3              25               1              HB               0   43100C19
               -4              25               1              HB               0   43101019
               -5              25               1              HB               0   43101419
               -6              25               1              HB               0   43101819
               -7              25               1              HB               0   43101C19
               -8              25               1              HB               0   43102019
               -9              25               1              HB               0   43102419
              -10              25               1              HB               0   43102819
              -11              25               1              HB               0   43102C19
              -12              25               1              HB               0   43103019
              -13              25               1              HB               0   43103419
              -14              25               1              HB               0   43103819
              -15              25               1              HB               0   43103C19
              -15              25               2              HB               0   43203C19
              -16              25               1              HB               0   43104019
              -16              25               2              HB               0   43204019
               -1              26               1              HB               0   4310041A
               -2              26               1              HB               0   4310081A
               -3              26               1              HB               0   43100C1A
               -4              26               1              HB               0   4310101A
               -5              26               1              HB               0   4310141A
               -6              26               1              HB               0   4310181A
               -7              26               1              HB               0   43101C1A
               -8              26               1              HB               0   4310201A
               -9              26               1              HB               0   4310241A
              -10              26               1              HB               0   4310281A
              -11              26               1              HB               0   43102C1A
              -12              26               1              HB               0   4310301A
              -13              26               1              HB               0   4310341A
              -14              26               1              HB               0   4310381A
              -15              26               1              HB               0   43103C1A
              -15              26               2              HB               0   43203C1A
              -16              26               1              HB               0   4310401A
              -16              26               2              HB               0   4320401A
               -1              27               1              HB               0   4310041B
               -2              27               1              HB               0   4310081B
               -3              27               1              HB               0   43100C1B
               -4              27               1              HB               0   4310101B
               -5              27               1              HB               0   4310141B
               -6              27               1              HB               0   4310181B
               -7              27               1              HB               0   43101C1B
               -8              27               1              HB               0   4310201B
               -9              27               1              HB               0   4310241B
              -10              27               1              HB               0   4310281B
              -11              27               1              HB               0   43102C1B
              -12              27               1              HB               0   4310301B
              -13              27               1              HB               0   4310341B
              -14              27               1              HB               0   4310381B
              -15              27               1              HB               0   43103C1B
              -15              27               2              HB               0   43203C1B
